0,000	20,400	20,500
20,000	20,500	20,400
40,000	20,400	20,300
60,000	20,500	20,400
80,000	20,400	20,400
100,000	20,500	20,400
120,000	20,400	20,300
140,000	20,400	20,400
160,000	20,400	20,300
180,000	20,300	20,300
200,000	20,500	20,400
220,000	20,400	20,300
240,000	20,400	20,400
260,000	20,300	20,400
280,000	20,400	20,300
300,000	20,300	20,300
320,000	20,400	20,400
340,000	20,200	20,300
360,000	20,300	20,300
380,000	20,400	20,300
400,000	20,300	20,300
420,000	20,500	20,200
440,000	20,400	20,300
460,000	20,300	20,300
480,000	20,400	20,200
500,000	20,300	20,200
520,000	20,300	20,200
540,000	20,300	20,200
560,000	20,200	20,200
580,000	20,300	20,200
600,000	20,300	20,300
620,000	20,400	20,300
640,000	20,300	20,200
660,000	20,300	20,200
680,000	20,300	20,200
700,000	20,300	20,200
720,000	20,300	20,300
740,000	20,200	20,300
760,000	20,400	20,200
780,000	20,300	20,100
800,000	20,300	20,200
820,000	20,300	20,100
840,000	20,300	20,200
860,000	20,300	20,300
880,000	20,300	20,300
900,000	20,200	20,200
920,000	20,200	20,200
940,000	20,300	20,100
960,000	20,300	20,200
980,000	20,300	20,100
1000,000	20,300	20,200
1020,000	20,300	20,100
1040,000	20,300	20,000
1060,000	20,200	20,200
1080,000	20,300	20,200
1100,000	20,300	20,000
1120,000	20,200	20,100
1140,000	20,200	20,200
1160,000	20,300	20,000
1180,000	20,200	20,100
1200,000	20,200	20,000
1220,000	20,200	20,100
1240,000	20,300	20,100
1260,000	20,200	20,000
1280,000	20,300	20,100
1300,000	20,200	20,000
1320,000	20,200	20,000
1340,000	20,300	20,000
1360,000	20,200	20,000
1380,000	20,100	20,100
1400,000	20,200	20,100
1420,000	20,200	20,000
1440,000	20,200	20,100
1460,000	20,200	20,000
1480,000	20,200	20,000
1500,000	20,200	20,100
1520,000	20,200	20,100
1540,000	20,300	20,100
1560,000	20,200	20,100
1580,000	20,200	20,200
1600,000	20,200	20,100
1620,000	20,200	20,200
